Id_bat,Position_bat,Nickname_bat,FPPG_bat,Salary_bat,Team_bat,Batting Order,bats,Roll_PA_bat,Roll_HR_bat,Roll_GB/FB_bat,Roll_BB%_bat,Roll_K%_bat,Roll_GB%_bat,Roll_FB%_bat,Roll_ISO_bat,Roll_wRC+_bat,throws,Roll_ERA_pitch,Roll_FB%_pitch,Roll_GB%_pitch,Roll_LOB%_pitch,Roll_K%_pitch,Roll_K-BB%_pitch,Roll_ER_pitch,Roll_IP_pitch,Roll_SO_pitch,Roll_HR_pitch,Roll_x FIP_pitch,Roll_WHIP_pitch,Team_FD,1B as L,1B as R,2B as L,2B as R,3B as L,3B as R,HR as L,HR as R,Bats_L,Bats_R,Throw_L,Throw_R,Matchup
27318-13540,OF,J.D. Martinez,14.29117599,4700,BOS,,R,4.142857142857143,0.42857142857142855,1.2142857142857142,0.06428571428571413,0.27142857142857124,0.4404761904285704,0.4166666665714281,0.3214285714285712,133.91419712071442,L,3.549685714285713,0.29812977771428584,0.4936255197142856,0.7860857142857146,0.17149999999999993,0.09305714285714282,2.2857142857142856,5.814285714285715,4.714285714285714,0.5714285714285714,4.610306545571428,1.4196000000000002,BOS,103,104,124,106,121,88,90,101,0,1,1,0,1
27318-39151,OF,Mookie Betts,15.97528145,4500,BOS,,R,4.857142857142857,0.2857142857142857,1.0476190475714282,0.028571428571428588,0.21428571428571416,0.4642857142857144,0.42857142857142894,0.2499999999999997,110.77850601942885,L,3.549685714285713,0.29812977771428584,0.4936255197142856,0.7860857142857146,0.17149999999999993,0.09305714285714282,2.2857142857142856,5.814285714285715,4.714285714285714,0.5714285714285714,4.610306545571428,1.4196000000000002,BOS,103,104,124,106,121,88,90,101,0,1,1,0,1
27318-68495,OF,Andrew Benintendi,12.94705858,3900,BOS,,L,4.142857142857143,0.0,1.4285714285714288,0.10714285714285714,0.13571428571428576,0.4999999997142852,0.3809523807142856,0.10714285714285697,101.5677030565714,L,3.549685714285713,0.29812977771428584,0.4936255197142856,0.7860857142857146,0.17149999999999993,0.09305714285714282,2.2857142857142856,5.814285714285715,4.714285714285714,0.5714285714285714,4.610306545571428,1.4196000000000002,BOS,103,104,124,106,121,88,90,101,1,0,1,0,0
27318-5504,2B,Ian Kinsler,9.345652041000001,3300,BOS,,R,4.285714285714286,0.2857142857142857,0.8571428571428571,0.1642857142857144,0.2071428571428572,0.3809523808571429,0.3452380949999987,0.404761904714286,283.652808661143,L,3.549685714285713,0.29812977771428584,0.4936255197142856,0.7860857142857146,0.17149999999999993,0.09305714285714282,2.2857142857142856,5.814285714285715,4.714285714285714,0.5714285714285714,4.610306545571428,1.4196000000000002,BOS,103,104,124,106,121,88,90,101,0,1,1,0,1
27318-5532,1B,Steve Pearce,9.083721072000001,3000,BOS,,R,4.0,0.14285714285714285,1.0,0.1071428571428571,0.21428571428571425,0.4761904761428567,0.2976190475714287,0.14285714285714285,151.95721931371412,L,3.549685714285713,0.29812977771428584,0.4936255197142856,0.7860857142857146,0.17149999999999993,0.09305714285714282,2.2857142857142856,5.814285714285715,4.714285714285714,0.5714285714285714,4.610306545571428,1.4196000000000002,BOS,103,104,124,106,121,88,90,101,0,1,1,0,1
27318-12462,1B,Mitch Moreland,9.640476045,2900,BOS,,L,4.142857142857143,0.14285714285714285,1.5,0.13571428571428576,0.17857142857142885,0.4999999998571424,0.4285714284285715,0.14285714285714293,55.84001691742849,L,3.549685714285713,0.29812977771428584,0.4936255197142856,0.7860857142857146,0.17149999999999993,0.09305714285714282,2.2857142857142856,5.814285714285715,4.714285714285714,0.5714285714285714,4.610306545571428,1.4196000000000002,BOS,103,104,124,106,121,88,90,101,1,0,1,0,0
27318-12505,2B,Eduardo Nunez,7.65,2500,BOS,,R,4.0,0.0,1.5,0.028571428571428564,0.10000000000000013,0.5357142855714289,0.4166666664285711,0.14285714285714296,51.77707680571415,L,3.549685714285713,0.29812977771428584,0.4936255197142856,0.7860857142857146,0.17149999999999993,0.09305714285714282,2.2857142857142856,5.814285714285715,4.714285714285714,0.5714285714285714,4.610306545571428,1.4196000000000002,BOS,103,104,124,106,121,88,90,101,0,1,1,0,1
27318-21637,OF,Jackie Bradley Jr.,8.556250254,2500,BOS,,L,4.0,0.2857142857142857,0.7857142857142857,0.14285714285714293,0.3214285714285718,0.3809523808571434,0.49999999985714294,0.35714285714285704,155.49825398142872,L,3.549685714285713,0.29812977771428584,0.4936255197142856,0.7860857142857146,0.17149999999999993,0.09305714285714282,2.2857142857142856,5.814285714285715,4.714285714285714,0.5714285714285714,4.610306545571428,1.4196000000000002,BOS,103,104,124,106,121,88,90,101,1,0,1,0,0
27318-38595,C,Blake Swihart,4.312000122,2400,BOS,,S,4.0,0.14285714285714285,0.7619047618571428,0.10714285714285714,0.11904761900000027,0.3690476190000001,0.4119047618571429,0.2261904761428572,152.12028598899994,L,3.549685714285713,0.29812977771428584,0.4936255197142856,0.7860857142857146,0.17149999999999993,0.09305714285714282,2.2857142857142856,5.814285714285715,4.714285714285714,0.5714285714285714,4.610306545571428,1.4196000000000002,BOS,103,104,124,106,121,88,90,101,0,0,1,0,0
27318-13685,2B,Brock Holt,7.3926472379999995,2300,BOS,,L,4.285714285714286,0.0,1.8571428571428568,0.107142857142857,0.19285714285714306,0.5952380951428571,0.21428571428571452,0.028571428571428505,53.4168843284286,L,3.549685714285713,0.29812977771428584,0.4936255197142856,0.7860857142857146,0.17149999999999993,0.09305714285714282,2.2857142857142856,5.814285714285715,4.714285714285714,0.5714285714285714,4.610306545571428,1.4196000000000002,BOS,103,104,124,106,121,88,90,101,1,0,1,0,0
