,Predict,Id,Position,Nickname,FPPG,Salary,Team
84,10.128347,27215-68509,OF,Mark Zagunis,3.1,2000,CHC
85,12.386757,27215-11443,1B,Justin Smoak,10.49468085,3500,TOR
86,10.835443,27215-73023,OF,Teoscar Hernandez,10.37560961,3400,TOR
87,11.657307,27215-5279,1B,Kendrys Morales,8.016049232,3100,TOR
88,9.534359,27215-13909,OF,Randal Grichuk,8.762318487,3000,TOR
89,9.725543,27215-13710,3B,Yangervis Solarte,9.326530612,3000,TOR
90,12.413998,27215-5114,OF,Curtis Granderson,7.704819277,2900,TOR
91,7.4813886,27215-54049,SS,Aledmys Diaz,7.3256753460000015,2500,TOR
92,7.490178,27215-38867,2B,Devon Travis,7.059374809,2500,TOR
93,12.947004,27215-5299,C,Russell Martin,7.169697155,2300,TOR
94,7.026406,27215-52995,C,Luke Maile,7.597958935,2100,TOR
95,8.625049,27215-68489,OF,Dwight Smith Jr.,6.6619044710000015,2100,TOR
96,6.780774,27215-38589,2B,Darnell Sweeney,0.0,2000,TOR
97,7.3127947,27215-17151,OF,Dalton Pompey,1.8,2000,TOR
98,6.7646823,27215-79271,SS,Richard Urena,3.718181957,2000,TOR
99,9.397574,27215-49523,1B,Jose Abreu,10.20200012,3500,CWS
100,9.352177,27215-61553,2B,Yoan Moncada,10.23085119,3200,CWS
101,6.7861705,27215-60672,SS,Tim Anderson,9.743434097,2900,CWS
102,11.18089,27215-12985,OF,Avisail Garcia,10.41707332,2800,CWS
103,9.271637,27215-21161,3B,Yolmer Sanchez,8.734693878,2600,CWS
104,9.305427,27215-12965,1B,Matt Davidson,9.29375,2500,CWS
105,7.9455996,27215-13378,OF,Leury Garcia,7.395384803,2400,CWS
106,8.071974,27215-70277,C,Kevan Smith,7.232000122,2300,CWS
107,6.669232,27215-80457,OF,Adam Engel,5.773626642000001,2100,CWS
108,6.8656797,27215-13388,OF,Ryan LaMarre,4.131110975,2100,CWS
109,7.6800294,27215-68546,SS,Jose Rondon,6.345454823,2100,CWS
110,6.9002814,27215-71217,C,Omar Narvaez,6.308928353,2000,CWS
111,8.02624,27215-12495,C,Welington Castillo,8.299999815,2000,CWS
112,5.6281834,27215-13596,OF,Trayce Thompson,3.911764706,2000,CWS
113,7.622715,27215-38316,OF,Charlie Tilson,4.851219363,2000,CWS
